Title,Company,Location,URL
Senior Data Analyst,Talent Insider,"Jakarta, Indonesia",https://id.linkedin.com/jobs/view/senior-data-analyst-at-talent-insider-3535224687?refId=oPrH4vkal0v3boMVyqjghw%3D%3D&trackingId=B1whKp8N32xVUVLUntZNhQ%3D%3D&position=4&pageNum=3&trk=public_jobs_jserp-result_search-card
Business Intelligence (BI) Intern,Hypefast,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/business-intelligence-bi-intern-at-hypefast-3544973952?refId=oPrH4vkal0v3boMVyqjghw%3D%3D&trackingId=QPVmT2rSUfsZnnrL0SXT6A%3D%3D&position=5&pageNum=3&trk=public_jobs_jserp-result_search-card
Data Analyst - Multinational Manufacturing Industry,Michael Page,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analyst-multinational-manufacturing-industry-at-michael-page-3510947493?refId=oPrH4vkal0v3boMVyqjghw%3D%3D&trackingId=KFcDdja5fZZlpdU1kk7hlA%3D%3D&position=6&pageNum=3&trk=public_jobs_jserp-result_search-card
Senior Data Analyst - Lending & Credit Risk,DKATALIS,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/senior-data-analyst-lending-credit-risk-at-dkatalis-3498052799?refId=oPrH4vkal0v3boMVyqjghw%3D%3D&trackingId=aCGfJDd%2FVpFmP8xWxIgW1w%3D%3D&position=7&pageNum=3&trk=public_jobs_jserp-result_search-card
Safety Reporting & Data Analyst,Eramet,"Halmahera, North Maluku, Indonesia",https://id.linkedin.com/jobs/view/safety-reporting-data-analyst-at-eramet-3501295430?refId=oPrH4vkal0v3boMVyqjghw%3D%3D&trackingId=sSxWu7fHeYjym%2Bn1yI4NaA%3D%3D&position=10&pageNum=3&trk=public_jobs_jserp-result_search-card
Senior Data Analyst - User Trust,BukuWarung,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/senior-data-analyst-user-trust-at-bukuwarung-3508619409?refId=oPrH4vkal0v3boMVyqjghw%3D%3D&trackingId=irX02mS%2Fn4bMdghSRDhK1Q%3D%3D&position=11&pageNum=3&trk=public_jobs_jserp-result_search-card
Data-Analyst Magang,PT Qtera Mandiri,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analyst-magang-at-pt-qtera-mandiri-3477064318?refId=oPrH4vkal0v3boMVyqjghw%3D%3D&trackingId=Ct46H%2B22V%2BWr3h7j%2F4HKpg%3D%3D&position=12&pageNum=3&trk=public_jobs_jserp-result_search-card
Business Data Analyst - Investment Tech of Big Conglo,Michael Page,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/business-data-analyst-investment-tech-of-big-conglo-at-michael-page-3494795923?refId=oPrH4vkal0v3boMVyqjghw%3D%3D&trackingId=KtVsxyLbwKGX%2BmXamHtijg%3D%3D&position=13&pageNum=3&trk=public_jobs_jserp-result_search-card
Data Engineer - KOMPAS.ID,KOMPAS GRAMEDIA,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-engineer-kompas-id-at-kompas-gramedia-3486151759?refId=oPrH4vkal0v3boMVyqjghw%3D%3D&trackingId=pZCloFf38S9fggRiKwvlQQ%3D%3D&position=14&pageNum=3&trk=public_jobs_jserp-result_search-card
Data Engineer,PT. Serasi Autoraya,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-engineer-at-pt-serasi-autoraya-3498114494?refId=oPrH4vkal0v3boMVyqjghw%3D%3D&trackingId=FKA5Yr4GgCWZirGW79Nw5Q%3D%3D&position=16&pageNum=3&trk=public_jobs_jserp-result_search-card
